,Year,Amount,Use Chip,Errors?,Is Fraud?
55,2002,$104.77,Swipe Transaction,Insufficient Balance,No
56,2002,$119.69,Swipe Transaction,N/A,No
57,2002,$145.50,Swipe Transaction,N/A,No
58,2002,$48.34,Swipe Transaction,N/A,No
59,2002,$2.79,Swipe Transaction,N/A,No
60,2002,$47.51,Swipe Transaction,N/A,No
61,2002,$51.98,Swipe Transaction,N/A,No
62,2002,$82.90,Swipe Transaction,N/A,No
63,2002,$76.37,Swipe Transaction,N/A,No
64,2002,$134.89,Swipe Transaction,N/A,No
65,2002,$35.28,Swipe Transaction,N/A,No
66,2002,$80.65,Swipe Transaction,N/A,No
67,2002,$112.67,Swipe Transaction,N/A,No
68,2002,$162.26,Swipe Transaction,N/A,No
69,2002,$39.38,Swipe Transaction,N/A,No
70,2002,$55.76,Swipe Transaction,N/A,No
71,2002,$100.00,Swipe Transaction,N/A,No
72,2002,$-100.00,Swipe Transaction,N/A,No
73,2002,$93.37,Swipe Transaction,N/A,No
74,2002,$199.71,Swipe Transaction,N/A,No
75,2002,$23.18,Swipe Transaction,N/A,No
76,2002,$57.64,Swipe Transaction,N/A,No
77,2002,$78.46,Swipe Transaction,N/A,No
78,2002,$141.70,Swipe Transaction,N/A,No
79,2002,$55.41,Swipe Transaction,N/A,No
80,2002,$153.36,Swipe Transaction,N/A,No
81,2002,$119.61,Swipe Transaction,Insufficient Balance,No
82,2002,$120.25,Swipe Transaction,Insufficient Balance,No
83,2002,$40.58,Swipe Transaction,N/A,No
84,2002,$165.96,Swipe Transaction,N/A,No
85,2002,$127.32,Online Transaction,N/A,No
86,2002,$38.13,Swipe Transaction,N/A,No
87,2002,$11.30,Swipe Transaction,N/A,No
88,2002,$80.05,Swipe Transaction,N/A,No
89,2002,$119.73,Swipe Transaction,N/A,No
90,2002,$30.90,Swipe Transaction,N/A,No
91,2002,$34.89,Swipe Transaction,N/A,No
92,2002,$139.34,Swipe Transaction,N/A,No
93,2002,$46.46,Swipe Transaction,N/A,No
94,2002,$102.74,Swipe Transaction,N/A,No
95,2002,$36.44,Swipe Transaction,N/A,No
96,2002,$114.87,Swipe Transaction,N/A,No
97,2002,$53.13,Swipe Transaction,N/A,No
98,2002,$16.87,Swipe Transaction,N/A,No
99,2002,$139.39,Online Transaction,N/A,No
100,2002,$133.96,Swipe Transaction,N/A,No
101,2002,$100.00,Swipe Transaction,N/A,No
102,2002,$154.70,Swipe Transaction,N/A,No
103,2002,$27.22,Swipe Transaction,N/A,No
104,2002,$118.25,Swipe Transaction,N/A,No
105,2002,$31.01,Swipe Transaction,N/A,No
106,2002,$53.09,Online Transaction,N/A,No
107,2002,$142.06,Swipe Transaction,N/A,No
108,2002,$172.67,Swipe Transaction,N/A,No
109,2002,$159.46,Swipe Transaction,N/A,No
110,2002,$37.69,Swipe Transaction,N/A,No
111,2002,$87.47,Swipe Transaction,N/A,No
112,2002,$168.96,Swipe Transaction,N/A,No
113,2002,$135.41,Swipe Transaction,N/A,No
114,2002,$30.00,Swipe Transaction,N/A,No
115,2002,$58.62,Swipe Transaction,N/A,No
116,2002,$-99.00,Swipe Transaction,N/A,No
117,2002,$99.00,Swipe Transaction,N/A,No
118,2002,$100.75,Swipe Transaction,N/A,No
119,2002,$1049.82,Swipe Transaction,N/A,No
120,2002,$207.00,Swipe Transaction,N/A,No
121,2002,$99.09,Swipe Transaction,N/A,No
122,2002,$-88.00,Swipe Transaction,N/A,No
123,2002,$88.00,Swipe Transaction,N/A,No
124,2002,$55.30,Swipe Transaction,N/A,No
125,2002,$93.02,Swipe Transaction,N/A,No
126,2002,$142.68,Swipe Transaction,N/A,No
127,2002,$-207.00,Swipe Transaction,N/A,No
128,2002,$3.65,Swipe Transaction,N/A,No
129,2002,$521.24,Swipe Transaction,N/A,No
130,2002,$114.05,Swipe Transaction,N/A,No
131,2002,$91.10,Swipe Transaction,N/A,No
132,2002,$1.84,Swipe Transaction,N/A,No
133,2002,$130.22,Swipe Transaction,N/A,No
134,2002,$24.02,Swipe Transaction,N/A,No
135,2002,$41.02,Swipe Transaction,N/A,No
136,2002,$43.69,Swipe Transaction,N/A,No
137,2002,$49.08,Swipe Transaction,N/A,No
138,2002,$-57.00,Swipe Transaction,N/A,No
139,2002,$57.00,Swipe Transaction,N/A,No
140,2002,$164.49,Swipe Transaction,N/A,No
141,2002,$201.62,Swipe Transaction,N/A,No
142,2002,$17.82,Swipe Transaction,N/A,No
143,2002,$118.96,Swipe Transaction,N/A,No
144,2002,$66.00,Swipe Transaction,N/A,No
145,2002,$62.01,Swipe Transaction,N/A,No
146,2002,$-66.00,Swipe Transaction,N/A,No
147,2002,$39.12,Swipe Transaction,N/A,No
148,2002,$148.58,Swipe Transaction,N/A,No
149,2002,$35.82,Swipe Transaction,N/A,No
150,2002,$73.35,Swipe Transaction,N/A,No
151,2002,$119.43,Swipe Transaction,N/A,No
152,2002,$38.42,Swipe Transaction,N/A,No
153,2002,$216.47,Swipe Transaction,N/A,No
154,2002,$131.02,Swipe Transaction,N/A,No
155,2002,$37.06,Swipe Transaction,N/A,No
156,2002,$156.93,Swipe Transaction,N/A,No
157,2002,$2.30,Swipe Transaction,N/A,No
158,2002,$9.76,Swipe Transaction,N/A,No
159,2002,$29.95,Swipe Transaction,N/A,No
160,2002,$77.85,Swipe Transaction,N/A,No
161,2002,$35.92,Swipe Transaction,N/A,No
162,2002,$135.60,Swipe Transaction,N/A,No
163,2002,$37.63,Swipe Transaction,N/A,No
164,2002,$96.00,Swipe Transaction,N/A,No
165,2002,$-96.00,Swipe Transaction,N/A,No
166,2002,$61.08,Swipe Transaction,N/A,No
167,2002,$24.67,Swipe Transaction,N/A,No
168,2002,$46.10,Swipe Transaction,N/A,No
169,2002,$16.76,Swipe Transaction,N/A,No
170,2002,$161.51,Swipe Transaction,N/A,No
171,2002,$132.90,Swipe Transaction,N/A,No
172,2002,$30.50,Swipe Transaction,N/A,No
173,2002,$12.09,Swipe Transaction,N/A,No
174,2002,$150.08,Swipe Transaction,N/A,No
175,2002,$180.58,Swipe Transaction,N/A,No
176,2002,$55.61,Swipe Transaction,N/A,No
177,2002,$75.72,Swipe Transaction,N/A,No
178,2002,$77.41,Swipe Transaction,N/A,No
179,2002,$148.01,Swipe Transaction,N/A,No
180,2002,$106.72,Swipe Transaction,N/A,No
181,2002,$28.39,Online Transaction,N/A,No
182,2002,$140.86,Swipe Transaction,N/A,No
183,2002,$116.86,Swipe Transaction,N/A,No
184,2002,$122.64,Swipe Transaction,N/A,No
185,2002,$42.01,Swipe Transaction,N/A,No
186,2002,$167.00,Swipe Transaction,N/A,No
187,2002,$168.53,Swipe Transaction,N/A,No
188,2002,$85.91,Swipe Transaction,N/A,No
189,2002,$152.14,Swipe Transaction,N/A,No
190,2002,$40.78,Swipe Transaction,N/A,No
191,2002,$107.50,Swipe Transaction,N/A,No
192,2002,$59.52,Swipe Transaction,N/A,No
193,2002,$-91.00,Swipe Transaction,N/A,No
194,2002,$91.00,Swipe Transaction,N/A,No
195,2002,$-98.00,Swipe Transaction,N/A,No
196,2002,$98.00,Swipe Transaction,N/A,No
197,2002,$52.40,Swipe Transaction,N/A,No
198,2002,$130.48,Swipe Transaction,N/A,No
199,2002,$126.32,Swipe Transaction,N/A,No
200,2002,$63.90,Swipe Transaction,N/A,No
201,2002,$151.49,Swipe Transaction,N/A,No
202,2002,$113.32,Swipe Transaction,N/A,No
203,2002,$39.18,Swipe Transaction,N/A,No
204,2002,$66.98,Swipe Transaction,N/A,No
205,2002,$58.03,Swipe Transaction,N/A,No
206,2002,$186.41,Swipe Transaction,N/A,No
207,2002,$133.55,Swipe Transaction,N/A,No
208,2002,$59.74,Swipe Transaction,N/A,No
209,2002,$157.96,Swipe Transaction,N/A,No
210,2002,$95.40,Swipe Transaction,N/A,No
211,2002,$99.92,Swipe Transaction,N/A,No
212,2002,$127.33,Swipe Transaction,N/A,No
213,2002,$134.57,Swipe Transaction,N/A,No
214,2002,$52.94,Swipe Transaction,N/A,No
215,2002,$95.76,Swipe Transaction,N/A,No
216,2002,$83.17,Swipe Transaction,N/A,No
217,2002,$54.26,Swipe Transaction,N/A,No
218,2002,$61.02,Swipe Transaction,N/A,No
219,2002,$131.45,Swipe Transaction,N/A,No
220,2002,$115.91,Swipe Transaction,N/A,No
221,2002,$65.92,Swipe Transaction,N/A,No
222,2002,$38.99,Swipe Transaction,N/A,No
223,2002,$129.07,Swipe Transaction,N/A,No
224,2002,$37.23,Swipe Transaction,N/A,No
225,2002,$228.92,Swipe Transaction,N/A,No
226,2002,$141.77,Swipe Transaction,N/A,No
227,2002,$51.96,Swipe Transaction,N/A,No
228,2002,$143.06,Swipe Transaction,N/A,No
229,2002,$50.68,Swipe Transaction,N/A,No
230,2002,$-99.00,Swipe Transaction,N/A,No
231,2002,$69.31,Swipe Transaction,N/A,No
232,2002,$99.00,Swipe Transaction,N/A,No
233,2002,$99.36,Swipe Transaction,N/A,No
234,2002,$126.81,Swipe Transaction,N/A,No
235,2002,$379.73,Swipe Transaction,N/A,No
236,2002,$148.42,Swipe Transaction,N/A,No
237,2002,$138.59,Swipe Transaction,N/A,No
238,2002,$107.15,Swipe Transaction,N/A,No
239,2002,$81.43,Swipe Transaction,N/A,No
240,2002,$35.60,Swipe Transaction,N/A,No
241,2002,$173.03,Swipe Transaction,N/A,No
242,2002,$38.76,Swipe Transaction,N/A,No
243,2002,$24.55,Swipe Transaction,N/A,No
244,2002,$104.81,Swipe Transaction,N/A,No
245,2002,$75.86,Swipe Transaction,N/A,No
246,2002,$128.63,Swipe Transaction,N/A,No
247,2002,$147.54,Swipe Transaction,N/A,No
248,2002,$-50.00,Swipe Transaction,N/A,No
249,2002,$66.41,Swipe Transaction,N/A,No
250,2002,$50.00,Swipe Transaction,N/A,No
251,2002,$71.03,Swipe Transaction,N/A,No
252,2002,$78.32,Swipe Transaction,N/A,No
253,2002,$127.00,Swipe Transaction,N/A,No
254,2002,$211.00,Swipe Transaction,N/A,No
255,2002,$18.45,Swipe Transaction,N/A,No
256,2002,$79.78,Swipe Transaction,N/A,No
257,2002,$89.39,Swipe Transaction,N/A,No
258,2002,$9.92,Swipe Transaction,N/A,No
259,2002,$79.83,Swipe Transaction,N/A,No
260,2002,$149.45,Swipe Transaction,N/A,No
261,2002,$-211.00,Swipe Transaction,N/A,No
262,2002,$173.38,Swipe Transaction,N/A,No
263,2002,$-127.00,Swipe Transaction,N/A,No
264,2002,$38.41,Swipe Transaction,N/A,No
265,2002,$78.97,Swipe Transaction,N/A,No
266,2002,$113.94,Swipe Transaction,N/A,No
267,2002,$47.40,Swipe Transaction,N/A,No
268,2002,$210.96,Online Transaction,N/A,No
269,2002,$73.37,Swipe Transaction,N/A,No
270,2002,$134.26,Swipe Transaction,N/A,No
271,2002,$128.82,Swipe Transaction,N/A,No
272,2002,$128.41,Online Transaction,N/A,No
273,2002,$51.23,Swipe Transaction,N/A,No
274,2002,$141.19,Swipe Transaction,N/A,No
275,2002,$177.75,Swipe Transaction,N/A,No
276,2002,$58.42,Online Transaction,N/A,No
277,2002,$138.47,Swipe Transaction,N/A,No
278,2002,$108.90,Swipe Transaction,N/A,No
279,2002,$84.72,Swipe Transaction,N/A,No
280,2002,$141.32,Swipe Transaction,N/A,No
281,2002,$30.80,Swipe Transaction,N/A,No
282,2002,$55.25,Swipe Transaction,N/A,No
283,2002,$145.90,Swipe Transaction,N/A,No
284,2002,$75.31,Swipe Transaction,N/A,No
285,2002,$50.20,Swipe Transaction,N/A,No
286,2002,$58.10,Swipe Transaction,N/A,No
287,2002,$121.81,Online Transaction,Insufficient Balance,No
288,2002,$97.31,Online Transaction,N/A,No
289,2002,$129.63,Swipe Transaction,N/A,No
290,2002,$119.46,Swipe Transaction,N/A,No
291,2002,$47.73,Swipe Transaction,N/A,No
292,2002,$33.86,Swipe Transaction,N/A,No
293,2002,$123.12,Swipe Transaction,N/A,No
294,2002,$91.97,Swipe Transaction,N/A,No
295,2002,$40.06,Swipe Transaction,N/A,No
296,2002,$70.17,Swipe Transaction,N/A,No
297,2002,$53.74,Swipe Transaction,N/A,No
298,2002,$105.41,Swipe Transaction,N/A,No
299,2002,$117.15,Swipe Transaction,N/A,No
300,2002,$35.28,Swipe Transaction,N/A,No
301,2002,$44.92,Swipe Transaction,N/A,No
302,2002,$255.00,Swipe Transaction,N/A,No
303,2002,$3.62,Swipe Transaction,N/A,No
304,2002,$94.02,Swipe Transaction,N/A,No
305,2002,$55.44,Swipe Transaction,N/A,No
306,2002,$9.92,Online Transaction,N/A,No
307,2002,$76.75,Swipe Transaction,N/A,No
308,2002,$71.64,Swipe Transaction,N/A,No
309,2002,$25.01,Swipe Transaction,N/A,No
310,2002,$139.80,Swipe Transaction,N/A,No
311,2002,$81.36,Swipe Transaction,N/A,No
312,2002,$-255.00,Swipe Transaction,N/A,No
313,2002,$147.41,Swipe Transaction,N/A,No
314,2002,$114.15,Swipe Transaction,N/A,No
315,2002,$38.00,Swipe Transaction,N/A,No
316,2002,$57.25,Swipe Transaction,N/A,No
317,2002,$123.99,Swipe Transaction,N/A,No
318,2002,$37.29,Swipe Transaction,N/A,No
319,2002,$185.16,Swipe Transaction,N/A,No
320,2002,$46.30,Swipe Transaction,N/A,No
321,2002,$65.61,Swipe Transaction,N/A,No
322,2002,$6.06,Swipe Transaction,N/A,No
323,2002,$9.88,Swipe Transaction,N/A,No
324,2002,$160.17,Swipe Transaction,N/A,No
325,2002,$41.18,Swipe Transaction,N/A,No
326,2002,$6.19,Swipe Transaction,N/A,No
327,2002,$73.25,Swipe Transaction,N/A,No
328,2002,$42.33,Swipe Transaction,N/A,No
329,2003,$45.35,Swipe Transaction,N/A,No
330,2003,$187.21,Swipe Transaction,N/A,No
331,2003,$5.63,Swipe Transaction,N/A,No
332,2003,$123.66,Swipe Transaction,N/A,No
333,2003,$109.73,Swipe Transaction,N/A,No
334,2003,$65.50,Swipe Transaction,N/A,No
335,2003,$29.55,Swipe Transaction,N/A,No
336,2003,$126.17,Swipe Transaction,N/A,No
337,2003,$100.00,Swipe Transaction,N/A,No
338,2003,$43.99,Swipe Transaction,N/A,No
339,2003,$157.23,Swipe Transaction,N/A,No
340,2003,$46.57,Swipe Transaction,N/A,No
341,2003,$50.18,Swipe Transaction,N/A,No
342,2003,$116.30,Swipe Transaction,N/A,No
343,2003,$73.33,Swipe Transaction,N/A,No
344,2003,$132.82,Swipe Transaction,N/A,No
345,2003,$84.00,Swipe Transaction,N/A,No
346,2003,$-84.00,Swipe Transaction,N/A,No
347,2003,$67.52,Swipe Transaction,N/A,No
348,2003,$36.70,Swipe Transaction,N/A,No
349,2003,$6.51,Online Transaction,N/A,No
350,2003,$36.66,Swipe Transaction,N/A,No
351,2003,$93.42,Swipe Transaction,N/A,No
352,2003,$55.69,Swipe Transaction,N/A,No
353,2003,$59.38,Swipe Transaction,N/A,No
354,2003,$76.67,Swipe Transaction,N/A,No
355,2003,$36.53,Swipe Transaction,N/A,No
356,2003,$137.22,Swipe Transaction,N/A,No
357,2003,$97.24,Swipe Transaction,N/A,No
358,2003,$150.31,Swipe Transaction,N/A,No
359,2003,$10.59,Swipe Transaction,N/A,No
360,2003,$39.21,Swipe Transaction,N/A,No
361,2003,$109.59,Swipe Transaction,N/A,No
362,2003,$134.05,Swipe Transaction,N/A,No
363,2003,$46.80,Swipe Transaction,N/A,No
364,2003,$1.39,Swipe Transaction,N/A,No
365,2003,$227.90,Online Transaction,N/A,No
366,2003,$432.22,Swipe Transaction,N/A,No
367,2003,$68.50,Swipe Transaction,N/A,No
368,2003,$151.82,Swipe Transaction,N/A,No
369,2003,$20.09,Swipe Transaction,N/A,No
370,2003,$37.74,Swipe Transaction,N/A,No
371,2003,$124.63,Swipe Transaction,N/A,No
372,2003,$32.77,Swipe Transaction,N/A,No
373,2003,$134.32,Swipe Transaction,N/A,No
374,2003,$153.96,Swipe Transaction,N/A,No
375,2003,$32.23,Swipe Transaction,N/A,No
376,2003,$3.52,Swipe Transaction,N/A,No
377,2003,$29.35,Swipe Transaction,Technical Glitch,No
378,2003,$115.48,Swipe Transaction,N/A,No
379,2003,$18.71,Swipe Transaction,N/A,No
380,2003,$76.47,Swipe Transaction,N/A,No
381,2003,$54.91,Swipe Transaction,N/A,No
382,2003,$53.13,Swipe Transaction,N/A,No
383,2003,$34.42,Swipe Transaction,N/A,No
384,2003,$44.78,Swipe Transaction,N/A,No
385,2003,$10.11,Swipe Transaction,N/A,No
386,2003,$25.27,Swipe Transaction,N/A,No
387,2003,$10.24,Swipe Transaction,N/A,No
388,2003,$14.68,Swipe Transaction,N/A,No
389,2003,$136.52,Swipe Transaction,N/A,No
390,2003,$58.73,Swipe Transaction,N/A,No
391,2003,$52.21,Swipe Transaction,N/A,No
392,2003,$120.69,Swipe Transaction,N/A,No
393,2003,$15.45,Swipe Transaction,N/A,No
394,2003,$71.68,Swipe Transaction,N/A,No
395,2003,$118.90,Swipe Transaction,N/A,No
396,2003,$8.94,Swipe Transaction,N/A,No
397,2003,$53.93,Swipe Transaction,N/A,No
398,2003,$161.63,Swipe Transaction,N/A,No
399,2003,$33.39,Swipe Transaction,N/A,No
400,2003,$185.66,Online Transaction,N/A,No
401,2003,$78.35,Swipe Transaction,N/A,No
402,2003,$117.76,Swipe Transaction,N/A,No
403,2003,$46.18,Swipe Transaction,N/A,No
404,2003,$97.31,Swipe Transaction,N/A,No
405,2003,$23.59,Swipe Transaction,N/A,No
406,2003,$11.31,Swipe Transaction,N/A,No
407,2003,$7.52,Swipe Transaction,N/A,No
408,2003,$36.97,Swipe Transaction,N/A,No
409,2003,$26.46,Swipe Transaction,N/A,No
410,2003,$26.67,Swipe Transaction,N/A,No
411,2003,$110.08,Swipe Transaction,N/A,No
412,2003,$37.63,Swipe Transaction,N/A,No
413,2003,$69.12,Swipe Transaction,N/A,No
414,2003,$145.74,Swipe Transaction,N/A,No
415,2003,$35.52,Swipe Transaction,N/A,No
416,2003,$121.73,Swipe Transaction,Insufficient Balance,No
417,2003,$149.41,Swipe Transaction,N/A,No
418,2003,$107.39,Swipe Transaction,N/A,No
419,2003,$155.52,Swipe Transaction,N/A,No
420,2003,$56.00,Swipe Transaction,N/A,No
421,2003,$110.57,Swipe Transaction,N/A,No
422,2003,$65.69,Swipe Transaction,N/A,No
423,2003,$100.21,Swipe Transaction,N/A,No
424,2003,$10.12,Swipe Transaction,N/A,No
425,2003,$-66.00,Swipe Transaction,N/A,No
426,2003,$43.60,Swipe Transaction,N/A,No
427,2003,$66.00,Swipe Transaction,N/A,No
428,2003,$137.80,Swipe Transaction,N/A,No
429,2003,$36.31,Swipe Transaction,N/A,No
430,2003,$11.99,Swipe Transaction,N/A,No
431,2003,$57.75,Swipe Transaction,N/A,No
432,2003,$39.18,Swipe Transaction,N/A,No
433,2003,$36.10,Swipe Transaction,N/A,No
434,2003,$66.77,Swipe Transaction,N/A,No
435,2003,$35.34,Swipe Transaction,N/A,No
436,2003,$129.79,Swipe Transaction,N/A,No
437,2003,$39.89,Swipe Transaction,N/A,No
438,2003,$42.60,Swipe Transaction,N/A,No
439,2003,$50.73,Swipe Transaction,N/A,No
440,2003,$37.14,Swipe Transaction,N/A,No
441,2003,$56.68,Swipe Transaction,N/A,No
442,2003,$134.46,Swipe Transaction,N/A,No
443,2003,$125.26,Swipe Transaction,N/A,No
444,2003,$4.75,Swipe Transaction,N/A,No
445,2003,$73.88,Swipe Transaction,N/A,No
446,2003,$82.10,Swipe Transaction,N/A,No
447,2003,$36.72,Swipe Transaction,N/A,No
448,2003,$36.89,Swipe Transaction,N/A,No
449,2003,$85.26,Swipe Transaction,N/A,No
450,2003,$65.01,Swipe Transaction,N/A,No
451,2003,$41.11,Swipe Transaction,N/A,No
452,2003,$30.51,Swipe Transaction,N/A,No
453,2003,$73.50,Swipe Transaction,N/A,No
454,2003,$12.58,Swipe Transaction,N/A,No
455,2003,$76.01,Swipe Transaction,N/A,No
456,2003,$764.60,Swipe Transaction,N/A,No
457,2003,$57.78,Swipe Transaction,N/A,No
458,2003,$117.07,Swipe Transaction,N/A,No
459,2003,$28.76,Swipe Transaction,N/A,No
460,2003,$60.36,Swipe Transaction,N/A,No
461,2003,$40.15,Swipe Transaction,Bad PIN,No
462,2003,$40.98,Swipe Transaction,N/A,No
463,2003,$15.56,Swipe Transaction,N/A,No
464,2003,$188.40,Swipe Transaction,N/A,No
465,2003,$125.74,Swipe Transaction,N/A,No
466,2003,$71.04,Swipe Transaction,N/A,No
467,2003,$83.23,Swipe Transaction,N/A,No
468,2003,$52.94,Swipe Transaction,N/A,No
469,2003,$24.95,Swipe Transaction,N/A,No
470,2003,$41.97,Swipe Transaction,N/A,No
471,2003,$158.09,Swipe Transaction,N/A,No
472,2003,$137.27,Swipe Transaction,N/A,No
473,2003,$77.98,Swipe Transaction,N/A,No
474,2003,$53.48,Swipe Transaction,Bad PIN,No
475,2003,$67.86,Swipe Transaction,N/A,No
476,2003,$4.73,Online Transaction,N/A,No
477,2003,$133.42,Swipe Transaction,N/A,No
478,2003,$21.06,Swipe Transaction,N/A,No
479,2003,$192.46,Online Transaction,N/A,No
480,2003,$32.56,Swipe Transaction,N/A,No
481,2003,$47.04,Swipe Transaction,N/A,No
482,2003,$51.53,Swipe Transaction,N/A,No
483,2003,$15.98,Swipe Transaction,N/A,No
484,2003,$28.89,Swipe Transaction,N/A,No
485,2003,$64.74,Swipe Transaction,N/A,No
486,2003,$62.49,Swipe Transaction,N/A,No
487,2003,$119.71,Swipe Transaction,N/A,No
488,2003,$70.10,Swipe Transaction,N/A,No
489,2003,$157.30,Swipe Transaction,N/A,No
490,2003,$28.97,Swipe Transaction,N/A,No
491,2003,$129.36,Swipe Transaction,N/A,No
492,2003,$137.71,Swipe Transaction,N/A,No
493,2003,$24.82,Swipe Transaction,N/A,No
494,2003,$26.80,Swipe Transaction,N/A,No
495,2003,$57.60,Swipe Transaction,N/A,No
496,2003,$8.52,Swipe Transaction,N/A,No
497,2003,$154.96,Swipe Transaction,N/A,No
498,2003,$9.30,Swipe Transaction,N/A,No
499,2003,$31.66,Swipe Transaction,N/A,No
500,2003,$19.88,Swipe Transaction,N/A,No
501,2003,$120.90,Swipe Transaction,N/A,No
502,2003,$137.14,Swipe Transaction,N/A,No
503,2003,$50.12,Swipe Transaction,N/A,No
504,2003,$39.33,Swipe Transaction,N/A,No
505,2003,$21.68,Swipe Transaction,N/A,No
506,2003,$158.65,Swipe Transaction,N/A,No
507,2003,$70.43,Swipe Transaction,N/A,No
508,2003,$35.21,Swipe Transaction,N/A,No
509,2003,$14.97,Online Transaction,N/A,No
510,2003,$217.77,Swipe Transaction,N/A,No
511,2003,$36.96,Swipe Transaction,N/A,No
512,2003,$25.00,Swipe Transaction,N/A,No
513,2003,$126.17,Swipe Transaction,N/A,No
514,2003,$36.01,Swipe Transaction,N/A,No
515,2003,$48.29,Swipe Transaction,N/A,No
516,2003,$55.11,Swipe Transaction,N/A,No
517,2003,$52.86,Swipe Transaction,N/A,No
518,2003,$125.65,Swipe Transaction,N/A,No
519,2003,$31.58,Swipe Transaction,N/A,No
520,2003,$120.76,Swipe Transaction,N/A,No
521,2003,$102.22,Swipe Transaction,N/A,No
522,2003,$68.76,Swipe Transaction,N/A,No
523,2003,$28.10,Swipe Transaction,N/A,No
524,2003,$56.00,Swipe Transaction,N/A,No
525,2003,$-56.00,Swipe Transaction,N/A,No
526,2003,$57.97,Swipe Transaction,N/A,No
527,2003,$430.00,Swipe Transaction,N/A,No
528,2003,$222.00,Swipe Transaction,N/A,No
529,2003,$10.16,Swipe Transaction,N/A,No
530,2003,$30.43,Swipe Transaction,N/A,No
531,2003,$-222.00,Swipe Transaction,N/A,No
532,2003,$139.63,Swipe Transaction,N/A,No
533,2003,$126.98,Swipe Transaction,N/A,No
534,2003,$-430.00,Swipe Transaction,N/A,No
535,2003,$116.50,Swipe Transaction,Insufficient Balance,No
536,2003,$144.22,Swipe Transaction,N/A,No
537,2003,$124.76,Swipe Transaction,N/A,No
538,2003,$23.60,Swipe Transaction,N/A,No
539,2003,$160.81,Swipe Transaction,N/A,No
540,2003,$35.38,Swipe Transaction,N/A,No
541,2003,$70.23,Swipe Transaction,N/A,No
542,2003,$40.28,Swipe Transaction,N/A,No
543,2003,$14.11,Swipe Transaction,N/A,No
544,2003,$41.95,Swipe Transaction,N/A,No
545,2003,$1.70,Swipe Transaction,N/A,No
546,2003,$49.39,Swipe Transaction,N/A,No
547,2003,$67.53,Swipe Transaction,N/A,No
548,2003,$35.62,Swipe Transaction,N/A,No
549,2003,$126.02,Online Transaction,N/A,No
550,2003,$25.04,Swipe Transaction,N/A,No
551,2003,$16.74,Swipe Transaction,N/A,No
552,2003,$17.04,Swipe Transaction,N/A,No
553,2003,$65.22,Swipe Transaction,N/A,No
554,2003,$145.93,Swipe Transaction,N/A,No
555,2003,$15.57,Swipe Transaction,N/A,No
